'Elapsed time','ECG'
'seconds','mV'
180,1.935
180.004,2.16
180.008,2.2
180.012,1.938
180.016,1.545
180.02,1.045
180.024,0.635
180.028,0.263
180.032,0.028
180.036,-0.1
180.04,-0.147
180.044,-0.16
180.048,-0.163
180.052,-0.212
180.056,-0.185
180.06,-0.223
180.064,-0.273
180.068,-0.253
180.072,-0.228
180.076,-0.265
180.08,-0.278
180.084,-0.307
180.088,-0.333
180.092,-0.287
180.096,-0.325
180.1,-0.3
180.104,-0.302
180.108,-0.297
180.112,-0.32
180.116,-0.328
180.12,-0.34
180.124,-0.357
180.128,-0.325
180.132,-0.3
180.136,-0.335
180.14,-0.325
180.144,-0.31
180.148,-0.338
180.152,-0.362
180.156,-0.39
180.16,-0.325
180.164,-0.312
180.168,-0.302
180.172,-0.307
180.176,-0.345
180.18,-0.3
180.184,-0.338
180.188,-0.35
180.192,-0.312
180.196,-0.278
180.2,-0.282
180.204,-0.307
180.208,-0.295
180.212,-0.295
180.216,-0.338
180.22,-0.335
180.224,-0.325
180.228,-0.287
180.232,-0.3
180.236,-0.29
180.24,-0.278
180.244,-0.307
180.248,-0.3
180.252,-0.34
180.256,-0.315
180.26,-0.3
180.264,-0.29
180.268,-0.253
180.272,-0.312
180.276,-0.307
180.28,-0.282
180.284,-0.3
180.288,-0.287
180.292,-0.27
180.296,-0.263
180.3,-0.25
180.304,-0.25
180.308,-0.273
180.312,-0.24
180.316,-0.228
180.32,-0.21
180.324,-0.19
180.328,-0.15
180.332,-0.138
180.336,-0.065
180.34,-0.06
180.344,-0.06
180.348,-0.058
180.352,-0.083
180.356,-0.05
180.36,-0.065
180.364,-0.033
180.368,-0.013
180.372,-0.072
180.376,-0.04
180.38,-0.072
180.384,-0.058
180.388,-0.095
180.392,-0.048
180.396,-0.07
180.4,-0.083
180.404,-0.09
180.408,-0.065
180.412,-0.113
180.416,-0.125
180.42,-0.128
180.424,-0.11
180.428,-0.113
180.432,-0.102
180.436,-0.098
180.44,-0.102
180.444,-0.125
180.448,-0.128
180.452,-0.15
180.456,-0.135
180.46,-0.15
180.464,-0.128
180.468,-0.113
180.472,-0.113
180.476,-0.14
180.48,-0.158
180.484,-0.165
180.488,-0.177
180.492,-0.147
180.496,-0.147
180.5,-0.158
180.504,-0.163
180.508,-0.172
180.512,-0.188
180.516,-0.195
180.52,-0.21
180.524,-0.195
180.528,-0.19
180.532,-0.188
180.536,-0.163
180.54,-0.185
180.544,-0.198
180.548,-0.235
180.552,-0.225
180.556,-0.207
180.56,-0.258
180.564,-0.24
180.568,-0.21
180.572,-0.21
180.576,-0.225
180.58,-0.24
180.584,-0.258
180.588,-0.263
180.592,-0.263
180.596,-0.245
180.6,-0.223
180.604,-0.225
180.608,-0.245
180.612,-0.228
180.616,-0.25
180.62,-0.287
180.624,-0.265
180.628,-0.27
180.632,-0.275
180.636,-0.228
180.64,-0.223
180.644,-0.253
180.648,-0.263
180.652,-0.29
180.656,-0.278
180.66,-0.265
180.664,-0.27
180.668,-0.24
180.672,-0.25
180.676,-0.27
180.68,-0.287
180.684,-0.285
180.688,-0.302
180.692,-0.275
180.696,-0.258
180.7,-0.237
180.704,-0.27
180.708,-0.25
180.712,-0.258
180.716,-0.3
180.72,-0.287
180.724,-0.27
180.728,-0.258
180.732,-0.25
180.736,-0.273
180.74,-0.275
180.744,-0.275
180.748,-0.273
180.752,-0.278
180.756,-0.302
180.76,-0.282
180.764,-0.263
180.768,-0.275
180.772,-0.26
180.776,-0.258
180.78,-0.258
180.784,-0.275
180.788,-0.287
180.792,-0.278
180.796,-0.26
180.8,-0.282
180.804,-0.24
180.808,-0.258
180.812,-0.25
180.816,-0.287
180.82,-0.3
180.824,-0.27
180.828,-0.27
180.832,-0.253
180.836,-0.235
180.84,-0.24
180.844,-0.25
180.848,-0.26
180.852,-0.278
180.856,-0.295
180.86,-0.253
180.864,-0.228
180.868,-0.223
180.872,-0.24
180.876,-0.245
180.88,-0.253
180.884,-0.233
180.888,-0.233
180.892,-0.198
180.896,-0.22
180.9,-0.215
180.904,-0.177
180.908,-0.14
180.912,-0.172
180.916,-0.163
180.92,-0.152
180.924,-0.147
180.928,-0.14
180.932,-0.09
180.936,-0.133
180.94,-0.1
180.944,-0.122
180.948,-0.145
180.952,-0.14
180.956,-0.135
180.96,-0.17
180.964,-0.165
180.968,-0.163
180.972,-0.152
180.976,-0.188
180.98,-0.195
180.984,-0.24
180.988,-0.198
180.992,-0.185
180.996,-0.14
181,-0.16
181.004,-0.147
181.008,-0.165
181.012,-0.15
181.016,-0.163
181.02,-0.138
181.024,-0.12
181.028,-0.077
181.032,-0.075
181.036,-0.037
181.04,-0.058
181.044,0.05
181.048,0.163
181.052,0.328
181.056,0.627
181.06,1.073
181.064,1.515
181.068,1.927
181.072,2.21
181.076,2.158
181.08,1.84
181.084,1.35
181.088,0.795
181.092,0.31
181.096,0.01
181.1,-0.17
181.104,-0.228
181.108,-0.212
181.112,-0.195
181.116,-0.25
181.12,-0.233
181.124,-0.223
181.128,-0.26
181.132,-0.282
181.136,-0.278
181.14,-0.287
181.144,-0.312
181.148,-0.338
181.152,-0.323
181.156,-0.345
181.16,-0.323
181.164,-0.338
181.168,-0.312
181.172,-0.338
181.176,-0.333
181.18,-0.372
181.184,-0.378
181.188,-0.388
181.192,-0.35
181.196,-0.395
