  Seconds   Minutes     Hours  Type  Sub Chan  Num	Aux
   69.564   1.15940 0.0193233     +    0    0    0	(VFL
   72.460   1.20767 0.0201278     +    0    0    0	(N
   74.484   1.24140 0.0206900     +    0    0    0	(VFL
   77.304   1.28840 0.0214733     +    0    0    0	(N
   80.256   1.33760 0.0222933     +    0    0    0	(VFL
   81.524   1.35873 0.0226456     +    0    0    0	(N
   82.332   1.37220 0.0228700     +    0    0    0	(VFL
   83.612   1.39353 0.0232256     +    0    0    0	(N
   88.612   1.47687 0.0246144     +    0    0    0	(VFL
   90.152   1.50253 0.0250422     +    0    0    0	(N
   91.960   1.53267 0.0255444     +    0    0    0	(VFL
   93.076   1.55127 0.0258544     +    0    0    0	(N
   94.240   1.57067 0.0261778     +    0    0    0	(VFL
   95.384   1.58973 0.0264956     +    0    0    0	(N
  105.996   1.76660 0.0294433     +    0    0    0	(VFL
  107.152   1.78587 0.0297644     +    0    0    0	(N
  110.484   1.84140 0.0306900     +    0    0    0	(VFL
  112.844   1.88073 0.0313456     +    0    0    0	(N
