      Time   Sample #  Type  Sub Chan  Num	Aux
    0:00.820      105     N    0    0    0
    0:01.828      234     N    0    0    0
    0:02.828      362     N    0    0    0
    0:03.828      490     N    0    0    0
    0:04.836      619     N    0    0    0
    0:05.836      747     N    0    0    0
    0:06.781      868     N    0    0    0
    0:07.711      987     N    0    0    0
    0:08.648     1107     N    0    0    0
    0:09.602     1229     N    0    0    0
    0:10.563     1352     N    0    0    0
    0:11.563     1480     N    0    0    0
    0:12.555     1607     N    0    0    0
    0:13.570     1737     N    0    0    0
    0:14.594     1868     N    0    0    0
    0:15.633     2001     N    0    0    0
    0:16.664     2133     N    0    0    0
    0:17.688     2264     N    0    0    0
    0:18.719     2396     N    0    0    0
    0:19.703     2522     N    0    0    0
    0:20.656     2644     N    0    0    0
    0:21.617     2767     N    0    0    0
    0:22.195     2841     V    0    0    0
    0:23.477     3005     N    0    0    0
    0:24.453     3130     N    0    0    0
    0:25.398     3251     N    0    0    0
    0:26.313     3368     N    0    0    0
    0:27.242     3487     N    0    0    0
    0:28.164     3605     N    0    0    0
    0:29.086     3723     N    0    0    0
    0:30.047     3846     N    0    0    0
    0:31.063     3976     N    0    0    0
    0:32.070     4105     N    0    0    0
    0:33.078     4234     N    0    0    0
    0:34.078     4362     N    0    0    0
    0:35.078     4490     N    0    0    0
    0:36.086     4619     N    0    0    0
    0:37.078     4746     N    0    0    0
    0:38.063     4872     N    0    0    0
    0:38.977     4989     N    0    0    0
    0:39.898     5107     N    0    0    0
    0:40.805     5223     N    0    0    0
    0:41.758     5345     N    0    0    0
    0:42.727     5469     N    0    0    0
    0:43.688     5592     N    0    0    0
    0:44.648     5715     N    0    0    0
    0:45.633     5841     N    0    0    0
    0:46.609     5966     N    0    0    0
    0:47.617     6095     N    0    0    0
    0:48.594     6220     N    0    0    0
    0:49.539     6341     N    0    0    0
    0:50.461     6459     N    0    0    0
    0:51.414     6581     N    0    0    0
    0:52.383     6705     N    0    0    0
    0:53.352     6829     N    0    0    0
    0:54.344     6956     N    0    0    0
    0:55.352     7085     N    0    0    0
    0:56.328     7210     N    0    0    0
    0:57.313     7336     N    0    0    0
    0:58.305     7463     N    0    0    0
    0:59.305     7591     N    0    0    0
    1:00.289     7717     N    0    0    0
    1:01.242     7839     N    0    0    0
